Species,Genus,Subfamily,Family,Order,Class,Phylum,"Atlantic, Northwest",Common,BodyShape,Fresh,Brack,Saltwater,DemersPelag,DemersPelagRef,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,VerticalMove,VerticalMoveRef,LatMin,LatMax,LatRef,LongevityWild,LongevityWildRef,Length,LTypeMaxM,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,Mobility,MobilityRef,FecundityMin,FecundityMax,FecundityMean,FecundityType,FecundityRef,SpawningSeason,SpawnRef,LarvalStrategy,LarvalRef,LarvalLength,LLRef,MinPLD,MaxPLD,AvePLD,PLDRef,LarvalVertical,LVRef,MinDispersal,MaxDispersal,AverageDispersal,ADRef,Rafting,RaftingRef,Schooling,SchoolingRef,Notes,Comments,Website Link
Alepisaurus ferox,Alepisaurus,NA,Alepisauridae,Aulopiformes,Actinopterygii,Chordata,native,Long snouted lancetfish,elongated,0,0,-1,bathypelagic,FB51887,oceanodromous,FB51887,0,1830,FB50550,0,1830,NA,Yes,NA,57°S,84°N,FB6011,NA,NA,215,TL,FB7251,150,TL,NA,NA,FB5217,9000,NA,FB42154,NA,NA,0,0,0,0,0,-1,0,0,-1,0,Active,FB6011,NA,NA,NA,NA,NA,NA,NA,pelagic,FB36025,5,FB36025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unclear larval strategy, larval length at birth min is given, main reference used for lat and mobility","Mainly inhabit tropical and subtropical waters; however, during the feeding period adults may migrate to the subarctic reaching as far north as Greenland, Iceland and the Bering Sea (Ref. 51887).  Epipelagic- and mesopelagic, from near the surface to below 1,000 m, sometimes approaching inshore waters (Ref. 6011).  Bathypelagic (Ref. 58302).  Mainly nocturnal.  Feeds on fishes, cephalopods, tunicates, and crustaceans (Ref. 6011).  Preyed upon by opah, sharks, albacore, yellowfin tuna, and fur seals (Ref. 6885).  Oviparous, with planktonic larvae (Ref. 36025).  Are synchronous hermaphrodites (Ref. 84733).  Occasionally consumed but of little importance due to its soft flesh (Ref. 5217).  The maximum weight given is for a 167 cm FL specimen (Ref. 42154).",https://www.fishbase.se/summary/Alepisaurus-ferox.html
Alosa pseudoharengus,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Chordata,native,Alewife,fusiform / normal,-1,-1,-1,pelagic-neritic,FB51243,anadromous,FB51243,5,145,FB4639,56,110,FB5951,Yes,FB5951,34°N,55°N,FB86798,9,FB72462,40,SL,FB7251,30,SL,NA,NA,FB7251,200,NA,FB7251,NA,NA,-1,-1,0,-1,0,-1,0,0,0,-1,Active,FB188,68400,456700,NA,Absolute,FB188,Spring,FB188,demersal,FB4639,3.75,FB4639,4,70,20,Weber2015,Yes,Weber2015,NA,NA,NA,NA,No,NA,schooling,FB4639,"no main ref for swim type, unsure about larval strategy and larval min and max at birth are given","Occurs in open water over all bottom types (Ref.  86798).  Movement of schooling adults apparently restricted to coastal areas proximal to natal estuaries (Ref. 4639).  They migrate up rivers and even small streams to spawn in lakes and quiet stretches of rivers, then return to sea shortly after spawning (Ref. 4639); landlocked populations also ascend affluent rivers and streams.  Larvae remain in vicinity of spawning grounds, forming schools at sizes less than 10 mm TL, within one to two weeks after hatching (Ref. 4639), then descend in summer and autumn or even as late as November or December.  Feed on shrimps and small fishes; the young on diatoms, copepods and ostracods while in rivers.  Utilized fresh, dried or salted, smoked and frozen; eaten fried (Ref. 9988).  Also used for crab and lobster bait and sometimes for pet food (Ref. 9988).  Parasites found are Acanthocephala, cestodes, trematodes and copepods.  Overfishing, pollution and impassable dams cause the decline of stocks (Ref. 37032).",https://www.fishbase.se/summary/Alosa-pseudoharengus.html
Amblyraja hyperborea,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chordata,native,Arctic skate,other,0,0,-1,bathydemersal,FB119696,NA,NA,92,2925,FB119696,300,1500,FB3167,Yes,Peklova2014,50°S,82°N,FB27314,NA,NA,112,TL,FB114953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,Active,FB9574,NA,NA,NA,NA,NA,NA,NA,direct,NA,NA,NA,NA,NA,NA,NA,No,NA,10,37,30,Peklova214,No,NA,NA,NA,,"Found on the lower continental slope (Ref. 6871), probably most common on deep slopes and at abyssal depths (Ref. 114953).  Benthic (Ref. 58426); meso- to bathybenthic, on muddy substrate (Ref. 119696).  Feed on all kinds of bottom animals (Ref. 3167).  Prefer polar temperatures from hatching to maturity and eggs are incubated successfully and regularly in water as cold as 0<b0>C (Ref. 6902).  Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsule measures 81-125 mm long and 50-80 mm wide (Ref. 41251). Hatching size at 16-18 cm TL (Ref. 114953) (15 cm long in Ref. 119696).",https://www.fishbase.se/summary/Amblyraja-hyperborea.html
Amblyraja jenseni,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chordata,native,Shorttail skate,other,0,0,-1,bathydemersal,FB114953,NA,NA,165,2550,FB114953,165,2550,NA,No,FB6902,39°N,67°N,FB114953,NA,NA,74.25,TL,FB4926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB27314,NA,NA,NA,NA,NA,NA,NA,direct,FB50449,NA,NA,NA,NA,NA,NA,No,FB50449,NA,NA,NA,NA,No,NA,NA,NA,"no tab for swim type, fecundity, spawning and larvae, oviparous",Benthic (Ref. 58426).  Deep-water species.  Prefers higher temperatures.  Feeds on small fishes and crustaceans (Ref. 6902).  Oviparous (Ref. 50449).  Eggs have horn-like projections on the shell (Ref. 205).,https://www.fishbase.se/summary/Amblyraja-jenseni.html
Amblyraja radiata,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chordata,native,Starry ray,other,0,-1,-1,demersal,FB51243,oceanodromous,FB51243,5,1540,FB117245,25,440,FB114953,Yes,NA,33°N,80°N,FB55275,28,FB88929,105,TL,FB53748,NA,NA,NA,NA,NA,11400,NA,FB53748,NA,NA,-1,0,0,0,0,-1,0,0,-1,0,Active,FB9574,2,88,31,Litter,Iglesias2002,Fall,Iglesias2002,direct,FB3167,NA,NA,NA,NA,NA,NA,No,FB3167,93,180,93,Walker1997,No,NA,schooling,FB5951,,"Eurybathic, eurythermic (Ref. 4426) and benthic (Ref. 58426). Cold temperate species found in offshore waters (Ref. 88171) on all kinds of bottoms (Ref. 3167), mainly sandy and muddy (Ref. 82311). In the northeast Atlantic most common between 50-100 m depth (Ref. 88187) at temperatures of 2-5 <b0>C (Ref. 89120). Some seasonal migrations have been reported from the western Atlantic (Ref. 52109, 89121). Migration experiments showed that 85 % of tagged individuals remained within 93 km of the release site, with longest distance travelled at 180 km (Ref. 82319). Feed mainly on fish, crustaceans (Ref. 5951) and polychaete worms (Ref. 5578), but also on hydroids, molluscs, cephalopods and echinoderms (Ref. 49751); known to be a scavenger (Ref. 89122). Diet changes with increasing body size (Ref. 82311). Different populations of starry rays mature at different ages and sizes (Ref. 88171). Oviparous (Ref. 3167). Maturity size varies from 44-90 cm TL. Young hatch at ca. 8-12 cm TL (Ref. 114953). Young may tend to follow large objects, such as their mother (Ref. 205). Rarely reaches 60 cm in the North Sea (Ref. 88187). Able to detect weak electric fields generated by potential prey organisms and may also generate its own weak electric fields (Ref. 10311). Probably taken by hake trawlers (Ref. 5578). Few are dried and salted in Iceland (Ref. 6902). It has been mentioned that North American specimens grow to a larger size than East-Atlantic specimens (Arve Lynghammar, pers.comm., 11/09).",https://www.fishbase.se/summary/Amblyraja-radiata.html
Anarhichas denticulatus,Anarhichas,NA,Anarhichadidae,Perciformes,Actinopterygii,Chordata,native,Northern wolffish,elongated,0,0,-1,benthopelagic,FB51243,oceanodromous,FB51243,60,1700,FB58426,100,900,FB4694,Yes,NA,43°N,81°N,FB4694,NA,NA,180,TL,FB7251,NA,NA,NA,NA,NA,20000,NA,FB7251,seines,NA,0,0,0,0,0,0,0,0,0,0,Active,FB4694,NA,NA,27000,Absolute,Gusev1997,Spring,Gusev1997,pelagic,Gusev1997,25.5,Shevelev1990,21,28,NA,Foss2004,NA,NA,NA,NA,8,Templeman1984,NA,NA,NA,NA,,"Inhabits offshore waters in midwater; adults also near bottom from 60-970 m, mainly 100-900 m (Ref. 4694).  Epibenthic (Ref. 58426).  Feeds on sea gooseberries, medusas, small fishes, also echinoderms, crustaceans and mollusks (not so hard-shelled) (Ref. 4694).  Spawns at great depths (Ref. 44162).",https://www.fishbase.se/summary/Anarhichas-denticulatus.html
Anarhichas lupus,Anarhichas,NA,Anarhichadidae,Perciformes,Actinopterygii,Chordata,native,Atlantic wolffish,elongated,0,0,-1,demersal,FB51243,oceanodromous,FB51243,1,600,FB58426,18,110,FB7135,Yes,NA,37°N,79°N,FB54281,NA,NA,150,TL,FB7251,NA,NA,NA,NA,NA,23580,NA,FB40637,trawls,NA,0,0,0,-1,0,-1,0,0,-1,-1,Active,FB4695,25000,0,NA,Absolute,FB35388,Winter,FB35388,demersal,FB86779,20,Moksness1996,NA,NA,NA,NA,No,FB7135,NA,NA,NA,NA,No,NA,Both,FB9988,larval stratgey mentioned in the ecology tab,"Inhabit rocky bottoms, sometimes over sand or mud, from 1-500 m (Ref. 9988).  Benthic (Ref. 58426).  Feeds on fishes (Ref. 58426), hard-shelled mollusks, crabs, lobsters, sea urchins and other echinoderms.  Solitary in habit (Ref. 9988).  Marketed fresh and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).",https://www.fishbase.se/summary/Anarhichas-lupus.html
Anarhichas minor,Anarhichas,NA,Anarhichadidae,Perciformes,Actinopterygii,Chordata,native,Spotted wolffish,elongated,0,0,-1,demersal,FB51243,oceanodromous,FB51243,25,600,FB35388,100,400,FB4694,Yes,NA,42°N,81°N,FB4694,NA,NA,180,TL,FB7251,120,TL,NA,NA,FB4694,27900,NA,FB40637,seines,NA,0,0,0,0,0,0,0,0,0,0,Active,FB4694,NA,NA,NA,NA,NA,Fall,FB4694,demersal,FB4645,22.5,FB4645,21,28,NA,Foss2004,NA,NA,NA,93,19,Riget1988,NA,NA,shoaling,FB12224,"info stated in biology tab, spawning season is from sept to jan","Inhabits offshore waters over soft bottoms, often with boulders, from 25-590 m, but most common from 100-400 m (Ref. 4694).  Benthic (Ref. 58426).  Feeds mainly on echinoderms, but also crustaceans, mollusks, fishes (Ref. 4694) and worms (Ref. 58426).  In Barents sea, it reached at least 80 cm, age 9 years.  Marketed fresh or as frozen fillets.  Leather can be made of the skin (Ref. 35388).",https://www.fishbase.se/summary/Anarhichas-minor.html
Antimora rostrata,Antimora,NA,Moridae,Gadiformes,Actinopterygii,Chordata,native,Blue antimora,elongated,0,0,-1,bathypelagic,FB1371,NA,NA,350,3000,FB1371,1300,2500,FB5951,Yes,NA,62­°S,62°N,FB1371,NA,NA,75,SL,FB5208,33.2,TL,NA,NA,Magnusson2001,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,-1,0,Active,FB9574,NA,NA,NA,NA,NA,NA,NA,pelagic,Wenner1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shoaling,FB4525,"no tab for spawning, fecundity and larvae","Found on the continental slope and upper rise (Ref. 6606).  Epibenthic (Ref. 58426) and benthopelagic (Ref. 5951).  Deep waters to 3277 m (Ref. 58426). May move offshore with age and spawn in the deep parts of its range.  Off the eastern coast of United States, it is speculated that the population use the area only as feeding grounds with spawning taking place to the north.  Feed on benthic invertebrates (Ref. 9319).",https://www.fishbase.se/summary/Antimora-rostrata.html
Aphanopus carbo,Aphanopus,Aphanopodinae,Trichiuridae,Perciformes,Actinopterygii,Chordata,native,Black scabbardfish,eel-like,0,0,-1,bathypelagic,FB108735,oceanodromous,FB108735,200,2300,FB108733,700,1300,FB108735,Yes,NA,23°S,71°N,FB6181,NA,NA,151,TL,FB108708,70,SL,NA,NA,FB3698,2104,2505,FB108733,hooks and lines,bottom longlines (LLH),0,0,0,0,0,-1,0,0,0,0,Active,FB9574,73,373,NA,Relative,Neves2009,Winter,FB108708,pelagic,FB6768,NA,NA,NA,NA,NA,NA,Yes,FB6181,NA,NA,NA,NA,No,FB6768,NA,NA,"weight in the excel is not the same on fishbase (0.00g), no localities for fecundity and spawning are in canada, unsure about larval strategy","Juveniles mesopelagic (Ref. 6181).  Bathypelagic (Ref. 58426).  Migrate to midwater at night and feed on crustaceans, cephalopods and fishes (mostly macrourids, morids and alepocephalids).  Mature at 80 to 85 cm.  Eggs and larvae are pelagic (Ref. 6768). Data from study reveal mature individuals undertake horizontal migration to spawning and nursery grounds located off the Madeira and Canary islands (Ref. 108708).  Commercial catch up to 1000 t was caught off Madeira with a specialized commercial deep water longline (Ref. 6255).  Appear as bycatch in the trawl fishery west of the British Isles, along the Middle-Atlantic Ridge and at Corner Rise.  Important and fabled food fish in Madeira (Ref. 4537).  Some specimens reach 145 cm (Nuno Marques, Nomad@netmadeira.com, 12/09).",https://www.fishbase.se/summary/Aphanopus-carbo.html
