"","BodyShape","Fresh","Brack","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","LarvalStrategy","clusterID"
"Ale_fer","elongated",0,0,"bathypelagic",0,1830,215,"pelagic","1"
"Alo_pse","fusiform / normal",1,1,"pelagic-neritic",5,145,40,"demersal","2"
"Amb_hyp","other",0,0,"bathydemersal",92,2925,112,"demersal","3"
"Amb_jen","other",0,0,"bathydemersal",165,2550,74.25,"direct","3"
"Amb_rad","other",0,1,"demersal",5,1540,105,"direct","4"
"Amm_dub","elongated",0,0,"demersal",0,108,25,"demersal","5"
"Ana_den","elongated",0,0,"benthopelagic",60,1700,180,"pelagic","6"
"Ana_lup","elongated",0,0,"demersal",1,600,150,"demersal","5"
"Ana_min","elongated",0,0,"demersal",25,600,180,"demersal","5"
"Ano_cor","short and / or deep",0,0,"bathypelagic",2,4992,18,"pelagic","7"
"Ant_ros","elongated",0,0,"bathypelagic",350,3000,75,"pelagic","1"
"Aph_car","eel-like",0,0,"bathypelagic",200,2300,151,"pelagic","8"
"Apr_pro","elongated",0,0,"bathydemersal",1100,1750,54.2,"direct","9"
"Arc_ris","elongated",0,0,"bathypelagic",0,2200,30,"pelagic","1"
"Arg_sil","elongated",0,0,"bathydemersal",140,1440,70,"pelagic","6"
"Arg_str","elongated",0,0,"bathypelagic",100,600,24,"pelagic","1"
"Asp_mon","elongated",0,0,"demersal",0,695,22,"demersal","5"
"Asp_olr","elongated",0,1,"demersal",0,632,8.6,"pelagic","10"
"Bat_dub","elongated",0,0,"bathypelagic",500,3237,13,"pelagic","1"
"Bat_spi","other",0,0,"bathydemersal",140,1463,170,"direct","3"
"Bor_sai","elongated",0,1,"demersal",0,1383,40,"pelagic","10"
"Bro_bro","elongated",0,0,"demersal",18,1000,120,"pelagic","10"
"Cen_coe","elongated",0,0,"bathydemersal",180,2250,107,"direct","9"
"Cen_fab","elongated",0,0,"bathydemersal",128,3700,120,"direct","9"
"Cer_hol","short and / or deep",0,0,"bathypelagic",400,4400,16,"pelagic","7"
"Cha_slo","elongated",0,0,"bathypelagic",200,4700,35,"pelagic","1"
"Chi_nig","elongated",0,0,"pelagic-oceanic",700,2745,25,"pelagic","11"
"Clu_har","fusiform / normal",0,1,"benthopelagic",0,364,45,"demersal","12"
"Cor_rup","elongated",0,0,"bathypelagic",180,2600,110,"pelagic","1"
"Cry_cou","eel-like",0,0,"demersal",1,110,97,"pelagic","13"
"Cry_mac","short and / or deep",0,0,"bathypelagic",0,3085,7.3,"pelagic","7"
"Cyc_lum","short and / or deep",0,0,"benthopelagic",0,868,61,"pelagic","14"
"Dip_lae","other",0,0,"demersal",0,750,163,"demersal","15"
"Enc_cim","elongated",0,0,"demersal",20,650,41,"pelagic","10"
"Gad_mac","fusiform / normal",0,1,"demersal",10,1280,119,"demersal","12"
"Gad_mor","fusiform / normal",0,1,"benthopelagic",0,600,200,"pelagic","16"
"Gas_acu","fusiform / normal",1,1,"benthopelagic",0,100,11,"pelagic","17"
"Gly_cyn","short and / or deep",0,0,"demersal",18,1570,60,"pelagic","14"
"Gym_tri","elongated",0,0,"demersal",0,320,56,"demersal","5"
"Gym_vir","elongated",0,0,"demersal",0,556,30,"pelagic","10"
"Hal_joh","elongated",0,0,"bathypelagic",450,3000,56,"pelagic","1"
"Har_ral","elongated",0,0,"bathydemersal",200,3100,120,"direct","9"
"Hem_ame","elongated",0,0,"demersal",2,180,64,"pelagic","10"
"Hip_hip","short and / or deep",0,0,"demersal",10,3000,82.6,"pelagic","14"
"Hip_pla","fusiform / normal",0,0,"demersal",50,2000,470,"pelagic","18"
"Hyd_aff","elongated",0,0,"bathydemersal",300,3000,130,"direct","9"
"Lep_dec","fusiform / normal",0,0,"benthopelagic",127,1880,44,"pelagic","18"
"Lep_mac","elongated",0,0,"demersal",2,607,20,"pelagic","10"
"Leu_oce","other",0,0,"demersal",0,120,110,"direct","15"
"Lim_fer","short and / or deep",0,0,"demersal",27,364,64,"pelagic","14"
"Lip_gil","elongated",0,0,"bathydemersal",400,2000,50,"pelagic","6"
"Lop_ame","fusiform / normal",0,0,"demersal",0,800,120,"pelagic","18"
"Lum_lam","eel-like",0,0,"demersal",30,373,50,"demersal","13"
"Lyc_esm","elongated",0,0,"bathydemersal",143,1090,75,"demersal","19"
"Lyc_ret","elongated",0,0,"bathydemersal",18,930,36,"demersal","19"
"Lyc_vah","eel-like",0,0,"bathydemersal",39,1200,52,"demersal","20"
"Mac_ber","elongated",0,0,"benthopelagic",100,1000,110,"pelagic","6"
"Mal_nig","other",0,1,"bathydemersal",46,914,61,"direct","4"
"Mal_sen","other",0,0,"bathydemersal",450,1570,70,"direct","3"
"Mal_vil","elongated",1,1,"pelagic-oceanic",0,725,20,"pelagic","21"
"Mel_aeg","fusiform / normal",0,0,"bathypelagic",0,800,2.9,"pelagic","18"
"Mel_atl","fusiform / normal",0,0,"demersal",10,450,112,"pelagic","18"
"Mel_sim","elongated",0,0,"bathypelagic",400,1853,15,"demersal","22"
"Mer_alb","fusiform / normal",0,0,"bathydemersal",80,1170,40.6,"pelagic","18"
"Mer_bil","elongated",0,0,"demersal",55,914,76,"pelagic","10"
"Mic_pou","elongated",0,0,"bathypelagic",150,3000,55.5,"pelagic","1"
"Myo_aen","fusiform / normal",0,1,"demersal",1,357,18,"demersal","12"
"Myo_oct","elongated",0,1,"demersal",1,190,46,"demersal","5"
"Myo_qua","fusiform / normal",1,1,"demersal",0,100,60,"demersal","2"
"Myo_sco_2","fusiform / normal",0,1,"demersal",0,451,60,"demersal","12"
"Myx_glu","eel-like",0,0,"benthopelagic",20,1200,95,"demersal","20"
"Nan_gro","elongated",0,0,"bathypelagic",0,1400,24.5,"pelagic","1"
"Nes_ing","eel-like",0,0,"bathypelagic",0,1800,59.8,"pelagic","8"
"Nez_bai","elongated",0,0,"benthopelagic",16,1000,40,"pelagic","6"
"Not_che","elongated",0,0,"benthopelagic",125,3285,120,"pelagic","6"
"Pet_mar","eel-like",1,1,"demersal",1,4099,120,"demersal","23"
"Phy_che","elongated",0,0,"benthopelagic",90,1500,42,"pelagic","6"
"Pol_low","fusiform / normal",0,0,"demersal",37,364,130,"pelagic","18"
"Pol_ris","eel-like",0,0,"bathydemersal",500,2800,9.5,"pelagic","24"
"Pse_ame","short and / or deep",0,0,"demersal",5,143,64,"pelagic","14"
"Raj_bat","other",0,0,"bathydemersal",600,2300,90,"direct","3"
"Raj_fyl","other",0,0,"bathydemersal",170,2050,60,"direct","3"
"Raj_lin","other",0,0,"bathydemersal",150,2117,123,"direct","3"
"Rei_hip","fusiform / normal",0,0,"benthopelagic",1,2200,110,"pelagic","18"
"Rhi_atl","elongated",0,0,"bathydemersal",200,1500,140,"direct","9"
"Sco_sau","fusiform / normal",0,1,"pelagic-neritic",0,1000,60,"pelagic","16"
"Sco_sco","elongated",0,0,"pelagic-oceanic",0,30,50,"pelagic","11"
"Seb_men","fusiform / normal",0,0,"bathypelagic",300,1441,77.5,"pelagic","18"
"Seb_nor","fusiform / normal",0,0,"pelagic-oceanic",100,1000,100,"pelagic","18"
"Ser_bea","eel-like",0,0,"bathypelagic",0,6000,78,"pelagic","8"
"Sim_par","eel-like",0,0,"bathydemersal",100,3000,61,"pelagic","24"
"Som_mic","elongated",0,1,"benthopelagic",0,2992,427,"direct","25"
"Squ_aca","elongated",0,1,"benthopelagic",0,1460,95,"direct","25"
"Syn_kau","eel-like",0,0,"bathydemersal",120,4800,100,"pelagic","24"
"Ulv_sub","elongated",0,0,"benthopelagic",0,55,18,"demersal","19"
"Uro_ten","fusiform / normal",0,0,"demersal",100,1000,133,"pelagic","18"
"Xen_cop","elongated",0,0,"bathypelagic",100,2650,31,"pelagic","1"
"Zoa_ame","elongated",0,1,"demersal",0,388,110,"demersal","5"
