stratum,depth shallow,depth deep,depth ave
314,0,56,28
320,0,56,28
375,0,56,28
376,0,56,28
784,30,56,43
315,57,91,74
321,57,91,74
325,57,91,74
326,57,91,74
293,57,92,74.5
308,57,92,74.5
312,57,92,74.5
330,57,92,74.5
331,57,92,74.5
338,57,92,74.5
340,57,92,74.5
350,57,92,74.5
351,57,92,74.5
352,57,92,74.5
353,57,92,74.5
360,57,92,74.5
361,57,92,74.5
362,57,92,74.5
363,57,92,74.5
371,57,92,74.5
372,57,92,74.5
373,57,92,74.5
374,57,92,74.5
383,57,92,74.5
384,57,92,74.5
783,57,92,74.5
785,57,92,74.5
294,93,183,138
297,93,183,138
302,93,183,138
307,93,183,138
311,93,183,138
317,93,183,138
319,93,183,138
322,93,183,138
323,93,183,138
324,93,183,138
328,93,183,138
329,93,183,138
332,93,183,138
337,93,183,138
339,93,183,138
341,93,183,138
342,93,183,138
343,93,183,138
348,93,183,138
349,93,183,138
354,93,183,138
359,93,183,138
364,93,183,138
365,93,183,138
370,93,183,138
377,93,183,138
382,93,183,138
385,93,183,138
390,93,183,138
781,93,183,138
782,93,183,138
786,93,183,138
787,93,183,138
788,93,183,138
790,93,183,138
793,93,183,138
797,93,183,138
799,93,183,138
794,93,184,138.5
201,101,200,150.5
205,101,200,150.5
206,101,200,150.5
207,101,200,150.5
237,101,200,150.5
238,101,200,150.5
608,101,200,150.5
612,101,200,150.5
616,101,200,150.5
618,101,200,150.5
619,101,200,150.5
209,201,200,200.5
210,201,200,200.5
295,184,274,229
298,184,274,229
300,184,274,229
303,184,274,229
306,184,274,229
309,184,274,229
310,184,274,229
313,184,274,229
344,184,274,229
347,184,274,229
355,184,274,229
358,184,274,229
366,184,274,229
369,184,274,229
378,184,274,229
381,184,274,229
386,184,274,229
389,184,274,229
391,184,274,229
779,184,274,229
780,184,274,229
795,184,274,229
316,185,274,229.5
318,185,274,229.5
333,185,274,229.5
336,185,274,229.5
202,201,300,250.5
213,201,300,250.5
214,201,300,250.5
215,201,300,250.5
228,201,300,250.5
234,201,300,250.5
609,201,300,250.5
611,201,300,250.5
615,201,300,250.5
620,201,300,250.5
621,201,300,250.5
624,201,300,250.5
634,201,300,250.5
635,201,300,250.5
636,201,300,250.5
637,201,300,250.5
789,184,366,275
791,184,366,275
798,184,366,275
296,275,366,320.5
299,275,366,320.5
304,275,366,320.5
334,275,366,320.5
335,275,366,320.5
345,275,366,320.5
346,275,366,320.5
356,275,366,320.5
357,275,366,320.5
368,275,366,320.5
379,275,366,320.5
380,275,366,320.5
387,275,366,320.5
388,275,366,320.5
392,275,366,320.5
705,275,366,320.5
706,275,366,320.5
707,275,366,320.5
715,275,366,320.5
716,275,366,320.5
796,275,366,320.5
800,275,366,320.5
203,301,400,350.5
208,301,400,350.5
211,301,400,350.5
216,301,400,350.5
222,301,400,350.5
229,301,400,350.5
610,301,400,350.5
614,301,400,350.5
617,301,400,350.5
623,301,400,350.5
625,301,400,350.5
626,301,400,350.5
628,301,400,350.5
629,301,400,350.5
630,301,400,350.5
633,301,400,350.5
638,301,400,350.5
639,301,400,350.5
204,401,500,450.5
217,401,500,450.5
223,401,500,450.5
227,401,500,450.5
235,401,500,450.5
240,401,500,450.5
622,401,500,450.5
627,401,500,450.5
631,401,500,450.5
640,401,500,450.5
645,401,500,450.5
650,401,500,450.5
305,367,549,458
708,367,549,458
711,367,549,458
712,367,549,458
713,367,549,458
714,367,549,458
717,367,549,458
719,367,549,458
721,367,549,458
723,367,549,458
725,367,549,458
727,367,549,458
729,367,549,458
731,367,549,458
733,367,549,458
735,367,549,458
792,367,549,458
212,501,750,625.5
218,501,750,625.5
224,501,750,625.5
230,501,750,625.5
239,501,750,625.5
641,501,750,625.5
646,501,750,625.5
651,501,750,625.5
709,550,731,640.5
718,550,731,640.5
720,550,731,640.5
722,550,731,640.5
724,550,731,640.5
726,550,731,640.5
728,550,731,640.5
730,550,731,640.5
732,550,731,640.5
734,550,731,640.5
736,550,731,640.5
710,732,914,823
737,732,914,823
741,732,914,823
745,732,914,823
748,732,914,823
752,732,914,823
756,732,914,823
760,732,914,823
764,732,914,823
768,732,914,823
772,732,914,823
219,751,1000,875.5
231,751,1000,875.5
236,751,1000,875.5
642,751,1000,875.5
647,751,1000,875.5
652,751,1000,875.5
738,915,1097,1006
742,915,1097,1006
746,915,1097,1006
749,915,1097,1006
753,915,1097,1006
757,915,1097,1006
761,915,1097,1006
769,915,1097,1006
773,915,1097,1006
220,1001,1250,1125.5
225,1001,1250,1125.5
232,1001,1250,1125.5
643,1001,1250,1125.5
648,1001,1250,1125.5
653,1001,1250,1125.5
739,1098,1280,1189
743,1098,1280,1189
747,1098,1280,1189
750,1098,1280,1189
754,1098,1280,1189
758,1098,1280,1189
762,1098,1280,1189
766,1098,1280,1189
770,1098,1280,1189
774,1098,1280,1189
740,1281,1463,1372
744,1281,1463,1372
751,1281,1463,1372
755,1281,1463,1372
759,1281,1463,1372
763,1281,1463,1372
767,1281,1463,1372
771,1281,1463,1372
775,1281,1463,1372
221,1251,1500,1375.5
226,1251,1500,1375.5
233,1251,1500,1375.5
644,1251,1500,1375.5
649,1251,1500,1375.5
654,1251,1500,1375.5
765,915,1097,1006
